Full phase name;phase;rho0;dRhodX;K0;dKdX;dKdP;dKdPdX;dKdT;mu0;dmudX;dmudP;dmudT;alpha0;alpha1;alpha2;alpha3;Row source
Olivine (Forsterite);ol;3222;1182;1.29E+11;0;4.2;0;-17000000;81000000000;-31000000000;1.4;-14000000;2.01E-05;1.39E-08;0.001627;-0.338;2
Clinopyroxenes Di-cEn-He;cpx;3277;380;1.05E+11;12000000000;6.2;-1.9;-13000000;67000000000;-6000000000;1.7;-10000000;0.000053;5.92E-09;-0.0122;0.672;2
Clinopyroxene Di;cpx_di;3277;380;1.05E+11;12000000000;6.2;-1.9;-13000000;67000000000;-6000000000;1.7;-10000000;0.00003206;8.11E-09;0.001347;-1.8167;2
Clinopyroxene He;cpx_he;3277;380;1.05E+11;12000000000;6.2;-1.9;-13000000;67000000000;-6000000000;1.7;-10000000;0.00008821;3.72E-09;-0.038431;5.5597;2
Clinopyroxene Jadeite;jd;3320;0;1.26E+11;0;5;0;-16000000;84000000000;0;1.7;-13000000;0.00004832;1.06E-08;-0.024364;4.2932;2
Orthopyroxenes En-Fs;opx;3215;799;1.09E+11;20000000000;7;0;-27000000;75000000000;10000000000;1.6;-12000000;0.000044135;6.61E-09;-0.00575625;-0.08385;2
Orthopyroxene En;opx_en;3215;799;1.09E+11;20000000000;7;0;-27000000;75000000000;10000000000;1.6;-12000000;0.00003871;4.46E-09;0.0003435;-1.7278;2
Orthopyroxene Fs;opx_fs;3215;799;1.09E+11;20000000000;7;0;-27000000;75000000000;10000000000;1.6;-12000000;0.00004956;8.76E-09;-0.011856;1.5601;2
Ca-Garnet (Grossular);gnt_ca;3597;0;1.68E+11;0;5.2;0;-16000000;1.07E+11;0;1.6;-12000000;0.00002529;6.97E-09;0.002724;-1.4794;2
Garnet (Pyrope);gnt;3565;0;1.71E+11;0;4.4;0;-1.90E+07;9.20E+10;0;1.4;-1.00E+07;9.91E-06;1.17E-08;1.06E-02;-2.5;2
MgAl Spinel;sp;3578;702;1.98E+11;12000000000;5.7;0;-28000000;1.08E+11;-24000000000;0.8;-12000000;0.00006969;-1.08E-09;-0.030799;5.0395;1
# Sources;;;;;;;;;;;;;;;;;
# 1 - Goes et al. (2000);;;;;;;;;;;;;;;;;
# 2- Cammarano et al. (2003);;;;;;;;;;;;;;;;;
